"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
Bronx,White,2017,Percent,0.26118,36005
Bronx,Black,2017,Percent,0.37363,36005
Bronx,Asian,2017,Percent,0.31428,36005
Bronx,Latino,2017,Percent,0.44851,36005
Bronx,All Races and Ethnicities,2017,Percent,0.41031,36005
Brooklyn,White,2017,Percent,0.26761,36047
Brooklyn,Black,2017,Percent,0.25323,36047
Brooklyn,Asian,2017,Percent,0.25022,36047
Brooklyn,Latino,2017,Percent,0.37256,36047
Brooklyn,All Races and Ethnicities,2017,Percent,0.2795,36047
Manhattan,White,2017,Percent,0.03864,36061
Manhattan,Black,2017,Percent,0.50819,36061
Manhattan,Asian,2017,Percent,0.19484,36061
Manhattan,Latino,2017,Percent,0.37208,36061
Manhattan,All Races and Ethnicities,2017,Percent,0.24702,36061
Queens,White,2017,Percent,0.10005,36081
Queens,Black,2017,Percent,0.15919,36081
Queens,Asian,2017,Percent,0.16782,36081
Queens,Latino,2017,Percent,0.21149,36081
Queens,All Races and Ethnicities,2017,Percent,0.16783,36081
Staten Island,White,2017,Percent,0.08238,36085
Staten Island,Black,2017,Percent,0.42762,36085
Staten Island,Asian,2017,Percent,0.21958,36085
Staten Island,Latino,2017,Percent,0.28152,36085
Staten Island,All Races and Ethnicities,2017,Percent,0.18801,36085
New York City,White,2017,Percent,0.17146,3651000
New York City,Black,2017,Percent,0.29231,3651000
New York City,Asian,2017,Percent,0.20449,3651000
New York City,Latino,2017,Percent,0.35408,3651000
New York City,All Races and Ethnicities,2017,Percent,0.26673,3651000
Battery Park/Tribeca,White,2018,Number,142.55688,101
Battery Park/Tribeca,Black,2018,Number,2.42306,101
Battery Park/Tribeca,Asian,2018,Number,102.57634,101
Battery Park/Tribeca,Latino,2018,Number,0,101
Battery Park/Tribeca,All Races and Ethnicities,2018,Number,262.90235,101
Greenwich Village,White,2018,Number,210.44312,102
Greenwich Village,Black,2018,Number,3.57694,102
Greenwich Village,Asian,2018,Number,151.42366,102
Greenwich Village,Latino,2018,Number,0,102
Greenwich Village,All Races and Ethnicities,2018,Number,388.09765,102
Lower East Side,White,2018,Number,273,103
Lower East Side,Black,2018,Number,1237,103
Lower East Side,Asian,2018,Number,1483,103
Lower East Side,Latino,2018,Number,4333,103
Lower East Side,All Races and Ethnicities,2018,Number,7541,103
Chelsea/Clinton,White,2018,Number,121.29378,104
Chelsea/Clinton,Black,2018,Number,469.84679,104
Chelsea/Clinton,Asian,2018,Number,113.96284,104
Chelsea/Clinton,Latino,2018,Number,299.23576,104
Chelsea/Clinton,All Races and Ethnicities,2018,Number,1004.33917,104
Midtown Business District,White,2018,Number,60.70622,105
Midtown Business District,Black,2018,Number,235.15321,105
Midtown Business District,Asian,2018,Number,57.03716,105
Midtown Business District,Latino,2018,Number,149.76424,105
Midtown Business District,All Races and Ethnicities,2018,Number,502.66083,105
Murray Hill/Stuyvesant,White,2018,Number,165,106
Murray Hill/Stuyvesant,Black,2018,Number,0,106
Murray Hill/Stuyvesant,Asian,2018,Number,371,106
Murray Hill/Stuyvesant,Latino,2018,Number,0,106
Murray Hill/Stuyvesant,All Races and Ethnicities,2018,Number,535,106
Upper West Side,White,2018,Number,489,107
Upper West Side,Black,2018,Number,24,107
Upper West Side,Asian,2018,Number,105,107
Upper West Side,Latino,2018,Number,1142,107
Upper West Side,All Races and Ethnicities,2018,Number,2145,107
Upper East Side,White,2018,Number,603,108
Upper East Side,Black,2018,Number,50,108
Upper East Side,Asian,2018,Number,33,108
Upper East Side,Latino,2018,Number,519,108
Upper East Side,All Races and Ethnicities,2018,Number,1290,108
Manhattanville,White,2018,Number,318,109
Manhattanville,Black,2018,Number,1820,109
Manhattanville,Asian,2018,Number,143,109
Manhattanville,Latino,2018,Number,3568,109
Manhattanville,All Races and Ethnicities,2018,Number,5849,109
Central Harlem,White,2018,Number,204,110
Central Harlem,Black,2018,Number,6906,110
Central Harlem,Asian,2018,Number,192,110
Central Harlem,Latino,2018,Number,3865,110
Central Harlem,All Races and Ethnicities,2018,Number,11404,110
East Harlem,White,2018,Number,144,111
East Harlem,Black,2018,Number,4213,111
East Harlem,Asian,2018,Number,286,111
East Harlem,Latino,2018,Number,6918,111
East Harlem,All Races and Ethnicities,2018,Number,11618,111
Washington Heights,White,2018,Number,361,112
Washington Heights,Black,2018,Number,1550,112
Washington Heights,Asian,2018,Number,27,112
Washington Heights,Latino,2018,Number,9235,112
Washington Heights,All Races and Ethnicities,2018,Number,11173,112
Mott Haven,White,2018,Number,210.69205,201
Mott Haven,Black,2018,Number,4145.73204,201
Mott Haven,Asian,2018,Number,0,201
Mott Haven,Latino,2018,Number,9700.1091,201
Mott Haven,All Races and Ethnicities,2018,Number,14209.30084,201
Hunts Point,White,2018,Number,120.30795,202
Hunts Point,Black,2018,Number,2367.26796,202
Hunts Point,Asian,2018,Number,0,202
Hunts Point,Latino,2018,Number,5538.8909,202
Hunts Point,All Races and Ethnicities,2018,Number,8113.69916,202
Morrisania,White,2018,Number,257.34412,203
Morrisania,Black,2018,Number,3397.82304,203
Morrisania,Asian,2018,Number,105.18819,203
Morrisania,Latino,2018,Number,7075.98482,203
Morrisania,All Races and Ethnicities,2018,Number,10875.96921,203
Concourse/Highbridge,White,2018,Number,535,204
Concourse/Highbridge,Black,2018,Number,4486,204
Concourse/Highbridge,Asian,2018,Number,154,204
Concourse/Highbridge,Latino,2018,Number,13093,204
Concourse/Highbridge,All Races and Ethnicities,2018,Number,18368,204
University Heights,White,2018,Number,182,205
University Heights,Black,2018,Number,4552,205
University Heights,Asian,2018,Number,201,205
University Heights,Latino,2018,Number,14424,205
University Heights,All Races and Ethnicities,2018,Number,19833,205
East Tremont,White,2018,Number,268.65588,206
East Tremont,Black,2018,Number,3547.17696,206
East Tremont,Asian,2018,Number,109.81181,206
East Tremont,Latino,2018,Number,7387.01518,206
East Tremont,All Races and Ethnicities,2018,Number,11354.03079,206
Bedford Park,White,2018,Number,1528,207
Bedford Park,Black,2018,Number,1449,207
Bedford Park,Asian,2018,Number,903,207
Bedford Park,Latino,2018,Number,11935,207
Bedford Park,All Races and Ethnicities,2018,Number,16461,207
Riverdale,White,2018,Number,489,208
Riverdale,Black,2018,Number,1594,208
Riverdale,Asian,2018,Number,43,208
Riverdale,Latino,2018,Number,4836,208
Riverdale,All Races and Ethnicities,2018,Number,7041,208
Unionport/Soundview,White,2018,Number,312,209
Unionport/Soundview,Black,2018,Number,4005,209
Unionport/Soundview,Asian,2018,Number,1277,209
Unionport/Soundview,Latino,2018,Number,9607,209
Unionport/Soundview,All Races and Ethnicities,2018,Number,15999,209
Throgs Neck,White,2018,Number,378,210
Throgs Neck,Black,2018,Number,936,210
Throgs Neck,Asian,2018,Number,117,210
Throgs Neck,Latino,2018,Number,2600,210
Throgs Neck,All Races and Ethnicities,2018,Number,4062,210
Pelham Parkway,White,2018,Number,467,211
Pelham Parkway,Black,2018,Number,869,211
Pelham Parkway,Asian,2018,Number,34,211
Pelham Parkway,Latino,2018,Number,4555,211
Pelham Parkway,All Races and Ethnicities,2018,Number,6065,211
Williamsbridge,White,2018,Number,294,212
Williamsbridge,Black,2018,Number,3583,212
Williamsbridge,Asian,2018,Number,432,212
Williamsbridge,Latino,2018,Number,3408,212
Williamsbridge,All Races and Ethnicities,2018,Number,8557,212
Williamsburg/Greenpoint,White,2018,Number,9011,301
Williamsburg/Greenpoint,Black,2018,Number,465,301
Williamsburg/Greenpoint,Asian,2018,Number,454,301
Williamsburg/Greenpoint,Latino,2018,Number,1874,301
Williamsburg/Greenpoint,All Races and Ethnicities,2018,Number,11824,301
Fort Greene/Brooklyn Hts,White,2018,Number,1223,302
Fort Greene/Brooklyn Hts,Black,2018,Number,1885,302
Fort Greene/Brooklyn Hts,Asian,2018,Number,184,302
Fort Greene/Brooklyn Hts,Latino,2018,Number,1291,302
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2018,Number,4654,302
Bedford Stuyvesant,White,2018,Number,6735,303
Bedford Stuyvesant,Black,2018,Number,4334,303
Bedford Stuyvesant,Asian,2018,Number,461,303
Bedford Stuyvesant,Latino,2018,Number,1855,303
Bedford Stuyvesant,All Races and Ethnicities,2018,Number,13564,303
Bushwick,White,2018,Number,119,304
Bushwick,Black,2018,Number,2196,304
Bushwick,Asian,2018,Number,329,304
Bushwick,Latino,2018,Number,8621,304
Bushwick,All Races and Ethnicities,2018,Number,11297,304
East New York,White,2018,Number,235,305
East New York,Black,2018,Number,6397,305
East New York,Asian,2018,Number,483,305
East New York,Latino,2018,Number,6011,305
East New York,All Races and Ethnicities,2018,Number,13365,305
Park Slope,White,2018,Number,766,306
Park Slope,Black,2018,Number,686,306
Park Slope,Asian,2018,Number,0,306
Park Slope,Latino,2018,Number,966,306
Park Slope,All Races and Ethnicities,2018,Number,2418,306
Sunset Park,White,2018,Number,1189,307
Sunset Park,Black,2018,Number,0,307
Sunset Park,Asian,2018,Number,3781,307
Sunset Park,Latino,2018,Number,4933,307
Sunset Park,All Races and Ethnicities,2018,Number,10081,307
Crown Heights North,White,2018,Number,636,308
Crown Heights North,Black,2018,Number,4657,308
Crown Heights North,Asian,2018,Number,109,308
Crown Heights North,Latino,2018,Number,1521,308
Crown Heights North,All Races and Ethnicities,2018,Number,7258,308
Crown Heights South,White,2018,Number,1904,309
Crown Heights South,Black,2018,Number,3102,309
Crown Heights South,Asian,2018,Number,0,309
Crown Heights South,Latino,2018,Number,490,309
Crown Heights South,All Races and Ethnicities,2018,Number,5800,309
Bay Ridge,White,2018,Number,1699,310
Bay Ridge,Black,2018,Number,43,310
Bay Ridge,Asian,2018,Number,1405,310
Bay Ridge,Latino,2018,Number,1675,310
Bay Ridge,All Races and Ethnicities,2018,Number,4852,310
Bensonhurst,White,2018,Number,2529,311
Bensonhurst,Black,2018,Number,42,311
Bensonhurst,Asian,2018,Number,2664,311
Bensonhurst,Latino,2018,Number,2964,311
Bensonhurst,All Races and Ethnicities,2018,Number,9098,311
Borough Park,White,2018,Number,17417,312
Borough Park,Black,2018,Number,267,312
Borough Park,Asian,2018,Number,1909,312
Borough Park,Latino,2018,Number,1640,312
Borough Park,All Races and Ethnicities,2018,Number,21349,312
Coney Island,White,2018,Number,1430,313
Coney Island,Black,2018,Number,1380,313
Coney Island,Asian,2018,Number,1115,313
Coney Island,Latino,2018,Number,3596,313
Coney Island,All Races and Ethnicities,2018,Number,7763,313
Flatbush/Midwood,White,2018,Number,2947,314
Flatbush/Midwood,Black,2018,Number,1566,314
Flatbush/Midwood,Asian,2018,Number,1233,314
Flatbush/Midwood,Latino,2018,Number,1677,314
Flatbush/Midwood,All Races and Ethnicities,2018,Number,7488,314
Sheepshead Bay,White,2018,Number,3785,315
Sheepshead Bay,Black,2018,Number,223,315
Sheepshead Bay,Asian,2018,Number,833,315
Sheepshead Bay,Latino,2018,Number,1096,315
Sheepshead Bay,All Races and Ethnicities,2018,Number,6471,315
Brownsville,White,2018,Number,268,316
Brownsville,Black,2018,Number,5331,316
Brownsville,Asian,2018,Number,184,316
Brownsville,Latino,2018,Number,2789,316
Brownsville,All Races and Ethnicities,2018,Number,8595,316
East Flatbush,White,2018,Number,336,317
East Flatbush,Black,2018,Number,4465,317
East Flatbush,Asian,2018,Number,0,317
East Flatbush,Latino,2018,Number,264,317
East Flatbush,All Races and Ethnicities,2018,Number,5065,317
Canarsie,White,2018,Number,872,318
Canarsie,Black,2018,Number,3064,318
Canarsie,Asian,2018,Number,364,318
Canarsie,Latino,2018,Number,1467,318
Canarsie,All Races and Ethnicities,2018,Number,5893,318
Astoria,White,2018,Number,910,401
Astoria,Black,2018,Number,432,401
Astoria,Asian,2018,Number,824,401
Astoria,Latino,2018,Number,2026,401
Astoria,All Races and Ethnicities,2018,Number,4258,401
Sunnyside/Woodside,White,2018,Number,334,402
Sunnyside/Woodside,Black,2018,Number,0,402
Sunnyside/Woodside,Asian,2018,Number,1206,402
Sunnyside/Woodside,Latino,2018,Number,592,402
Sunnyside/Woodside,All Races and Ethnicities,2018,Number,2180,402
Jackson Heights,White,2018,Number,285,403
Jackson Heights,Black,2018,Number,17,403
Jackson Heights,Asian,2018,Number,806,403
Jackson Heights,Latino,2018,Number,7174,403
Jackson Heights,All Races and Ethnicities,2018,Number,8283,403
Elmhurst/Corona,White,2018,Number,316,404
Elmhurst/Corona,Black,2018,Number,98,404
Elmhurst/Corona,Asian,2018,Number,1444,404
Elmhurst/Corona,Latino,2018,Number,4878,404
Elmhurst/Corona,All Races and Ethnicities,2018,Number,6758,404
Ridgewood/Glendale,White,2018,Number,932,405
Ridgewood/Glendale,Black,2018,Number,0,405
Ridgewood/Glendale,Asian,2018,Number,156,405
Ridgewood/Glendale,Latino,2018,Number,2878,405
Ridgewood/Glendale,All Races and Ethnicities,2018,Number,4174,405
Rego Park/Forest Hills,White,2018,Number,801,406
Rego Park/Forest Hills,Black,2018,Number,0,406
Rego Park/Forest Hills,Asian,2018,Number,429,406
Rego Park/Forest Hills,Latino,2018,Number,236,406
Rego Park/Forest Hills,All Races and Ethnicities,2018,Number,1541,406
Flushing,White,2018,Number,596,407
Flushing,Black,2018,Number,90,407
Flushing,Asian,2018,Number,4903,407
Flushing,Latino,2018,Number,999,407
Flushing,All Races and Ethnicities,2018,Number,6730,407
Fresh Meadows/Briarwood,White,2018,Number,1480,408
Fresh Meadows/Briarwood,Black,2018,Number,129,408
Fresh Meadows/Briarwood,Asian,2018,Number,1557,408
Fresh Meadows/Briarwood,Latino,2018,Number,1436,408
Fresh Meadows/Briarwood,All Races and Ethnicities,2018,Number,5364,408
Woodhaven,White,2018,Number,589,409
Woodhaven,Black,2018,Number,58,409
Woodhaven,Asian,2018,Number,1780,409
Woodhaven,Latino,2018,Number,2485,409
Woodhaven,All Races and Ethnicities,2018,Number,5199,409
Howard Beach,White,2018,Number,60,410
Howard Beach,Black,2018,Number,228,410
Howard Beach,Asian,2018,Number,918,410
Howard Beach,Latino,2018,Number,1623,410
Howard Beach,All Races and Ethnicities,2018,Number,3325,410
Bayside,White,2018,Number,312,411
Bayside,Black,2018,Number,0,411
Bayside,Asian,2018,Number,1231,411
Bayside,Latino,2018,Number,231,411
Bayside,All Races and Ethnicities,2018,Number,1835,411
Jamaica/St. Albans,White,2018,Number,191,412
Jamaica/St. Albans,Black,2018,Number,2568,412
Jamaica/St. Albans,Asian,2018,Number,1838,412
Jamaica/St. Albans,Latino,2018,Number,2495,412
Jamaica/St. Albans,All Races and Ethnicities,2018,Number,7816,412
Queens Village,White,2018,Number,196,413
Queens Village,Black,2018,Number,2458,413
Queens Village,Asian,2018,Number,463,413
Queens Village,Latino,2018,Number,911,413
Queens Village,All Races and Ethnicities,2018,Number,4369,413
The Rockaways,White,2018,Number,678,414
The Rockaways,Black,2018,Number,4304,414
The Rockaways,Asian,2018,Number,91,414
The Rockaways,Latino,2018,Number,3363,414
The Rockaways,All Races and Ethnicities,2018,Number,8916,414
St. George,White,2018,Number,1265,501
St. George,Black,2018,Number,3459,501
St. George,Asian,2018,Number,375,501
St. George,Latino,2018,Number,5196,501
St. George,All Races and Ethnicities,2018,Number,10463,501
South Beach,White,2018,Number,1324,502
South Beach,Black,2018,Number,924,502
South Beach,Asian,2018,Number,1036,502
South Beach,Latino,2018,Number,2041,502
South Beach,All Races and Ethnicities,2018,Number,5780,502
Tottenville,White,2018,Number,1860,503
Tottenville,Black,2018,Number,0,503
Tottenville,Asian,2018,Number,148,503
Tottenville,Latino,2018,Number,821,503
Tottenville,All Races and Ethnicities,2018,Number,2828,503
Bronx,White,2018,Number,5042,36005
Bronx,Black,2018,Number,34932,36005
Bronx,Asian,2018,Number,3376,36005
Bronx,Latino,2018,Number,94159,36005
Bronx,All Races and Ethnicities,2018,Number,140938,36005
Brooklyn,White,2018,Number,53103,36047
Brooklyn,Black,2018,Number,40100,36047
Brooklyn,Asian,2018,Number,15510,36047
Brooklyn,Latino,2018,Number,44732,36047
Brooklyn,All Races and Ethnicities,2018,Number,156836,36047
Manhattan,White,2018,Number,3091,36061
Manhattan,Black,2018,Number,16511,36061
Manhattan,Asian,2018,Number,3066,36061
Manhattan,Latino,2018,Number,30030,36061
Manhattan,All Races and Ethnicities,2018,Number,53714,36061
Queens,White,2018,Number,7679,36081
Queens,Black,2018,Number,10382,36081
Queens,Asian,2018,Number,17645,36081
Queens,Latino,2018,Number,31327,36081
Queens,All Races and Ethnicities,2018,Number,70749,36081
Staten Island,White,2018,Number,4449,36085
Staten Island,Black,2018,Number,4383,36085
Staten Island,Asian,2018,Number,1558,36085
Staten Island,Latino,2018,Number,8057,36085
Staten Island,All Races and Ethnicities,2018,Number,19071,36085
New York City,White,2018,Number,73364,3651000
New York City,Black,2018,Number,106308,3651000
New York City,Asian,2018,Number,41154,3651000
New York City,Latino,2018,Number,208305,3651000
New York City,All Races and Ethnicities,2018,Number,441307,3651000
Battery Park/Tribeca,White,2018,Percent,0.024,101
Battery Park/Tribeca,Black,2018,Percent,0.027,101
Battery Park/Tribeca,Asian,2018,Percent,0.133,101
Battery Park/Tribeca,Latino,2018,Percent,0,101
Battery Park/Tribeca,All Races and Ethnicities,2018,Percent,0.033,101
Greenwich Village,White,2018,Percent,0.024,102
Greenwich Village,Black,2018,Percent,0.027,102
Greenwich Village,Asian,2018,Percent,0.133,102
Greenwich Village,Latino,2018,Percent,0,102
Greenwich Village,All Races and Ethnicities,2018,Percent,0.033,102
Lower East Side,White,2018,Percent,0.1,103
Lower East Side,Black,2018,Percent,0.579,103
Lower East Side,Asian,2018,Percent,0.3,103
Lower East Side,Latino,2018,Percent,0.588,103
Lower East Side,All Races and Ethnicities,2018,Percent,0.419,103
Chelsea/Clinton,White,2018,Percent,0.03,104
Chelsea/Clinton,Black,2018,Percent,0.435,104
Chelsea/Clinton,Asian,2018,Percent,0.093,104
Chelsea/Clinton,Latino,2018,Percent,0.153,104
Chelsea/Clinton,All Races and Ethnicities,2018,Percent,0.111,104
Midtown Business District,White,2018,Percent,0.03,105
Midtown Business District,Black,2018,Percent,0.435,105
Midtown Business District,Asian,2018,Percent,0.093,105
Midtown Business District,Latino,2018,Percent,0.153,105
Midtown Business District,All Races and Ethnicities,2018,Percent,0.111,105
Murray Hill/Stuyvesant,White,2018,Percent,0.023,106
Murray Hill/Stuyvesant,Black,2018,Percent,0,106
Murray Hill/Stuyvesant,Asian,2018,Percent,0.139,106
Murray Hill/Stuyvesant,Latino,2018,Percent,0,106
Murray Hill/Stuyvesant,All Races and Ethnicities,2018,Percent,0.043,106
Upper West Side,White,2018,Percent,0.025,107
Upper West Side,Black,2018,Percent,0.061,107
Upper West Side,Asian,2018,Percent,0.043,107
Upper West Side,Latino,2018,Percent,0.218,107
Upper West Side,All Races and Ethnicities,2018,Percent,0.072,107
Upper East Side,White,2018,Percent,0.03,108
Upper East Side,Black,2018,Percent,0.092,108
Upper East Side,Asian,2018,Percent,0.011,108
Upper East Side,Latino,2018,Percent,0.121,108
Upper East Side,All Races and Ethnicities,2018,Percent,0.043,108
Manhattanville,White,2018,Percent,0.095,109
Manhattanville,Black,2018,Percent,0.374,109
Manhattanville,Asian,2018,Percent,0.181,109
Manhattanville,Latino,2018,Percent,0.349,109
Manhattanville,All Races and Ethnicities,2018,Percent,0.291,109
Central Harlem,White,2018,Percent,0.089,110
Central Harlem,Black,2018,Percent,0.445,110
Central Harlem,Asian,2018,Percent,0.245,110
Central Harlem,Latino,2018,Percent,0.418,110
Central Harlem,All Races and Ethnicities,2018,Percent,0.392,110
East Harlem,White,2018,Percent,0.096,111
East Harlem,Black,2018,Percent,0.562,111
East Harlem,Asian,2018,Percent,0.204,111
East Harlem,Latino,2018,Percent,0.552,111
East Harlem,All Races and Ethnicities,2018,Percent,0.496,111
Washington Heights,White,2018,Percent,0.083,112
Washington Heights,Black,2018,Percent,0.503,112
Washington Heights,Asian,2018,Percent,0.07,112
Washington Heights,Latino,2018,Percent,0.311,112
Washington Heights,All Races and Ethnicities,2018,Percent,0.29,112
Mott Haven,White,2018,Percent,0.414,201
Mott Haven,Black,2018,Percent,0.528,201
Mott Haven,Asian,2018,Percent,0,201
Mott Haven,Latino,2018,Percent,0.525,201
Mott Haven,All Races and Ethnicities,2018,Percent,0.521,201
Hunts Point,White,2018,Percent,0.414,202
Hunts Point,Black,2018,Percent,0.528,202
Hunts Point,Asian,2018,Percent,0,202
Hunts Point,Latino,2018,Percent,0.525,202
Hunts Point,All Races and Ethnicities,2018,Percent,0.521,202
Morrisania,White,2018,Percent,0.573,203
Morrisania,Black,2018,Percent,0.466,203
Morrisania,Asian,2018,Percent,0.615,203
Morrisania,Latino,2018,Percent,0.48,203
Morrisania,All Races and Ethnicities,2018,Percent,0.474,203
Concourse/Highbridge,White,2018,Percent,0.744,204
Concourse/Highbridge,Black,2018,Percent,0.438,204
Concourse/Highbridge,Asian,2018,Percent,0.418,204
Concourse/Highbridge,Latino,2018,Percent,0.484,204
Concourse/Highbridge,All Races and Ethnicities,2018,Percent,0.473,204
University Heights,White,2018,Percent,0.435,205
University Heights,Black,2018,Percent,0.5,205
University Heights,Asian,2018,Percent,0.547,205
University Heights,Latino,2018,Percent,0.508,205
University Heights,All Races and Ethnicities,2018,Percent,0.508,205
East Tremont,White,2018,Percent,0.573,206
East Tremont,Black,2018,Percent,0.466,206
East Tremont,Asian,2018,Percent,0.615,206
East Tremont,Latino,2018,Percent,0.48,206
East Tremont,All Races and Ethnicities,2018,Percent,0.474,206
Bedford Park,White,2018,Percent,0.806,207
Bedford Park,Black,2018,Percent,0.365,207
Bedford Park,Asian,2018,Percent,0.71,207
Bedford Park,Latino,2018,Percent,0.419,207
Bedford Park,All Races and Ethnicities,2018,Percent,0.446,207
Riverdale,White,2018,Percent,0.101,208
Riverdale,Black,2018,Percent,0.536,208
Riverdale,Asian,2018,Percent,0.091,208
Riverdale,Latino,2018,Percent,0.326,208
Riverdale,All Races and Ethnicities,2018,Percent,0.292,208
Unionport/Soundview,White,2018,Percent,0.335,209
Unionport/Soundview,Black,2018,Percent,0.349,209
Unionport/Soundview,Asian,2018,Percent,0.307,209
Unionport/Soundview,Latino,2018,Percent,0.354,209
Unionport/Soundview,All Races and Ethnicities,2018,Percent,0.349,209
Throgs Neck,White,2018,Percent,0.138,210
Throgs Neck,Black,2018,Percent,0.125,210
Throgs Neck,Asian,2018,Percent,0.203,210
Throgs Neck,Latino,2018,Percent,0.228,210
Throgs Neck,All Races and Ethnicities,2018,Percent,0.18,210
Pelham Parkway,White,2018,Percent,0.096,211
Pelham Parkway,Black,2018,Percent,0.173,211
Pelham Parkway,Asian,2018,Percent,0.018,211
Pelham Parkway,Latino,2018,Percent,0.323,211
Pelham Parkway,All Races and Ethnicities,2018,Percent,0.231,211
Williamsbridge,White,2018,Percent,0.267,212
Williamsbridge,Black,2018,Percent,0.191,212
Williamsbridge,Asian,2018,Percent,0.444,212
Williamsbridge,Latino,2018,Percent,0.392,212
Williamsbridge,All Races and Ethnicities,2018,Percent,0.278,212
Williamsburg/Greenpoint,White,2018,Percent,0.359,301
Williamsburg/Greenpoint,Black,2018,Percent,0.591,301
Williamsburg/Greenpoint,Asian,2018,Percent,0.354,301
Williamsburg/Greenpoint,Latino,2018,Percent,0.308,301
Williamsburg/Greenpoint,All Races and Ethnicities,2018,Percent,0.343,301
Fort Greene/Brooklyn Hts,White,2018,Percent,0.114,302
Fort Greene/Brooklyn Hts,Black,2018,Percent,0.301,302
Fort Greene/Brooklyn Hts,Asian,2018,Percent,0.14,302
Fort Greene/Brooklyn Hts,Latino,2018,Percent,0.278,302
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2018,Percent,0.185,302
Bedford Stuyvesant,White,2018,Percent,0.489,303
Bedford Stuyvesant,Black,2018,Percent,0.302,303
Bedford Stuyvesant,Asian,2018,Percent,0.474,303
Bedford Stuyvesant,Latino,2018,Percent,0.302,303
Bedford Stuyvesant,All Races and Ethnicities,2018,Percent,0.373,303
Bushwick,White,2018,Percent,0.103,304
Bushwick,Black,2018,Percent,0.468,304
Bushwick,Asian,2018,Percent,0.404,304
Bushwick,Latino,2018,Percent,0.459,304
Bushwick,All Races and Ethnicities,2018,Percent,0.436,304
East New York,White,2018,Percent,0.222,305
East New York,Black,2018,Percent,0.284,305
East New York,Asian,2018,Percent,0.287,305
East New York,Latino,2018,Percent,0.333,305
East New York,All Races and Ethnicities,2018,Percent,0.304,305
Park Slope,White,2018,Percent,0.051,306
Park Slope,Black,2018,Percent,0.334,306
Park Slope,Asian,2018,Percent,0,306
Park Slope,Latino,2018,Percent,0.239,306
Park Slope,All Races and Ethnicities,2018,Percent,0.095,306
Sunset Park,White,2018,Percent,0.186,307
Sunset Park,Black,2018,Percent,0,307
Sunset Park,Asian,2018,Percent,0.367,307
Sunset Park,Latino,2018,Percent,0.312,307
Sunset Park,All Races and Ethnicities,2018,Percent,0.293,307
Crown Heights North,White,2018,Percent,0.136,308
Crown Heights North,Black,2018,Percent,0.299,308
Crown Heights North,Asian,2018,Percent,0.155,308
Crown Heights North,Latino,2018,Percent,0.409,308
Crown Heights North,All Races and Ethnicities,2018,Percent,0.273,308
Crown Heights South,White,2018,Percent,0.329,309
Crown Heights South,Black,2018,Percent,0.223,309
Crown Heights South,Asian,2018,Percent,0,309
Crown Heights South,Latino,2018,Percent,0.2,309
Crown Heights South,All Races and Ethnicities,2018,Percent,0.248,309
Bay Ridge,White,2018,Percent,0.172,310
Bay Ridge,Black,2018,Percent,0.056,310
Bay Ridge,Asian,2018,Percent,0.213,310
Bay Ridge,Latino,2018,Percent,0.282,310
Bay Ridge,All Races and Ethnicities,2018,Percent,0.2,310
Bensonhurst,White,2018,Percent,0.174,311
Bensonhurst,Black,2018,Percent,0.278,311
Bensonhurst,Asian,2018,Percent,0.176,311
Bensonhurst,Latino,2018,Percent,0.319,311
Bensonhurst,All Races and Ethnicities,2018,Percent,0.219,311
Borough Park,White,2018,Percent,0.418,312
Borough Park,Black,2018,Percent,0.55,312
Borough Park,Asian,2018,Percent,0.342,312
Borough Park,Latino,2018,Percent,0.461,312
Borough Park,All Races and Ethnicities,2018,Percent,0.408,312
Coney Island,White,2018,Percent,0.163,313
Coney Island,Black,2018,Percent,0.465,313
Coney Island,Asian,2018,Percent,0.296,313
Coney Island,Latino,2018,Percent,0.542,313
Coney Island,All Races and Ethnicities,2018,Percent,0.332,313
Flatbush/Midwood,White,2018,Percent,0.181,314
Flatbush/Midwood,Black,2018,Percent,0.163,314
Flatbush/Midwood,Asian,2018,Percent,0.28,314
Flatbush/Midwood,Latino,2018,Percent,0.235,314
Flatbush/Midwood,All Races and Ethnicities,2018,Percent,0.195,314
Sheepshead Bay,White,2018,Percent,0.172,315
Sheepshead Bay,Black,2018,Percent,0.126,315
Sheepshead Bay,Asian,2018,Percent,0.148,315
Sheepshead Bay,Latino,2018,Percent,0.28,315
Sheepshead Bay,All Races and Ethnicities,2018,Percent,0.183,315
Brownsville,White,2018,Percent,0.463,316
Brownsville,Black,2018,Percent,0.312,316
Brownsville,Asian,2018,Percent,0.725,316
Brownsville,Latino,2018,Percent,0.443,316
Brownsville,All Races and Ethnicities,2018,Percent,0.348,316
East Flatbush,White,2018,Percent,0.47,317
East Flatbush,Black,2018,Percent,0.173,317
East Flatbush,Asian,2018,Percent,0,317
East Flatbush,Latino,2018,Percent,0.112,317
East Flatbush,All Races and Ethnicities,2018,Percent,0.169,317
Canarsie,White,2018,Percent,0.079,318
